fiscal_year,year,month,month_numeric,day,date_stamp,volume_in_mn,value_in_cr,updated_on,released_on,data_source,data_url
2021-22,2021,September,9,12,2021-09-12,2.53,620.81,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,13,2021-09-13,3.48,901.85,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,14,2021-09-14,3.26,843.40,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,15,2021-09-15,3.22,814.26,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,16,2021-09-16,3.04,769.44,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,17,2021-09-17,3.15,783.12,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,18,2021-09-18,3.00,745.52,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,19,2021-09-19,2.38,553.63,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,20,2021-09-20,3.26,822.74,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,21,2021-09-21,2.71,685.02,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,22,2021-09-22,2.94,734.42,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,23,2021-09-23,2.89,723.06,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,24,2021-09-24,2.91,731.76,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,25,2021-09-25,2.52,645.27,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,26,2021-09-26,2.03,471.17,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,27,2021-09-27,2.77,692.87,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,28,2021-09-28,2.92,746.24,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,29,2021-09-29,2.66,689.92,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,30,2021-09-30,2.62,703.40,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,1,2021-10-01,2.93,856.25,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,2,2021-10-02,2.84,790.99,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,3,2021-10-03,2.50,620.10,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,4,2021-10-04,3.63,973.12,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,5,2021-10-05,3.44,903.58,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,6,2021-10-06,3.45,887.45,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,7,2021-10-07,3.48,909.16,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,8,2021-10-08,3.69,970.71,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,9,2021-10-09,3.48,914.11,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,10,2021-10-10,2.92,725.36,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
